timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,10,1020,compressed_spherical,-0.161447,0.757459,-0.273960,0.821500,-0.210000,-0.340000,8.401400,23.879999,,3286,-21,-34,30005,597,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,11,1020,compressed_spherical,-0.117834,0.612700,-0.100689,0.632000,-0.190000,-0.160000,-4.105920,22.999999,,2528,-19,-16,-14664,575,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,12,1020,compressed_spherical,-0.130218,0.642385,-0.231857,0.695250,-0.200000,-0.340000,-2.684640,43.639999,,2781,-20,-34,-9588,1091,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,13,1020,compressed_spherical,-0.142018,0.700594,-0.252867,0.758250,-0.200000,-0.340000,4.579680,49.519999,,3033,-20,-34,16356,1238,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,14,1020,compressed_spherical,-0.111702,0.613847,-0.100689,0.632000,-0.180000,-0.160000,-4.105920,26.759999,,2528,-18,-16,-14664,669,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,15,1020,compressed_spherical,-0.123788,0.643655,-0.231857,0.695250,-0.190000,-0.340000,-2.684640,50.999999,,2781,-19,-34,-9588,1275,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,16,1020,compressed_spherical,-0.135005,0.701980,-0.252867,0.758250,-0.190000,-0.340000,4.579680,47.359999,,3033,-19,-34,16356,1184,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,17,1020,compressed_spherical,-0.157528,0.819092,-0.295053,0.884750,-0.190000,-0.340000,-4.105920,6.760000,,3539,-19,-34,-14664,169,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,18,1020,compressed_spherical,-0.104999,0.611680,-0.119359,0.632000,-0.170000,-0.190000,-4.105920,30.519999,,2528,-17,-19,-14664,763,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,19,1020,compressed_spherical,-0.117345,0.644861,-0.231857,0.695250,-0.180000,-0.340000,-4.737600,55.519999,,2781,-18,-34,-16920,1388,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,20,1020,compressed_spherical,-0.127978,0.703295,-0.252867,0.758250,-0.180000,-0.340000,4.579680,42.119999,,3033,-18,-34,16356,1053,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,21,1020,compressed_spherical,-0.098877,0.612700,-0.119359,0.632000,-0.160000,-0.190000,-4.105920,33.239999,,2528,-16,-19,-14664,831,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,22,1020,compressed_spherical,-0.104425,0.647078,-0.231857,0.695250,-0.160000,-0.340000,-4.737600,54.999999,,2781,-16,-34,-16920,1375,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,23,1020,compressed_spherical,-0.113888,0.705713,-0.252867,0.758250,-0.160000,-0.340000,4.579680,35.759999,,3033,-16,-34,16356,894,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,24,1020,compressed_spherical,-0.082557,0.546245,-0.135193,0.568750,-0.150000,-0.240000,8.843240,5.880000,,2275,-15,-24,31583,147,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,25,1020,compressed_spherical,-0.092745,0.613658,-0.119359,0.632000,-0.150000,-0.190000,-4.105920,34.119999,,2528,-15,-19,-14664,853,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,26,1020,compressed_spherical,-0.097949,0.648090,-0.231857,0.695250,-0.150000,-0.340000,-4.737600,49.759999,,2781,-15,-34,-16920,1244,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,27,1020,compressed_spherical,-0.106825,0.706817,-0.252867,0.758250,-0.150000,-0.340000,4.579680,29.519999,,3033,-15,-34,16356,738,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,28,1020,compressed_spherical,-0.086604,0.614554,-0.119359,0.632000,-0.140000,-0.190000,-4.105920,32.999999,,2528,-14,-19,-14664,825,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,29,1020,compressed_spherical,-0.091464,0.649037,-0.231857,0.695250,-0.140000,-0.340000,-4.737600,41.999999,,2781,-14,-34,-16920,1050,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,30,1020,compressed_spherical,-0.099752,0.707850,-0.252867,0.758250,-0.140000,-0.340000,4.579680,23.999999,,3033,-14,-34,16356,600,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,31,1020,compressed_spherical,-0.080454,0.615390,-0.119359,0.632000,-0.130000,-0.190000,-4.105920,29.999999,,2528,-13,-19,-14664,750,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,32,1020,compressed_spherical,-0.084969,0.649919,-0.231857,0.695250,-0.130000,-0.340000,-4.737600,33.999999,,2781,-13,-34,-16920,850,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
